test,time,output
example_1.dip,1.5697840054829915,"{ ""DP"": 1}"
example_10.dip,1.1881413459777832,
example_2.dip,3.2269951502482095,"{ ""DP"": 1}"
example_3.dip,24.16615621248881,"{ ""DP"": 1}"
example_4.dip,110.12049333254497,"{ ""DP"": 1}"
example_5.dip,359.0621207555135,"{ ""DP"": 1}"
example_6.dip,1.1836806138356526,
example_7.dip,1.7122948169708252,
example_8.dip,1.410782019297282,
example_9.dip,1.2831319173177083,
