eps,delta,type,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time,output
0.05,0.01,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.639744997024536,"{ ""DP"": 1}"
0.05,0.05,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.963411887486776,"{ ""DP"": 1}"
0.05,0.1,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.206021706263224,"{ ""DP"": 1}"
0.05,0.2,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.182634433110556,"{ ""DP"": 1}"
0.05,0.3,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.508973677953085,"{ ""DP"": 1}"
0.05,0.4,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.971857150395712,"{ ""DP"": 1}"
0.05,0.5,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.118951718012491,"{ ""DP"": 1}"
0.05,0.6,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.48529322942098,"{ ""DP"": 1}"
0.08,0.01,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.191264152526855,"{ ""DP"": 1}"
0.08,0.05,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.136703491210938,"{ ""DP"": 1}"
0.08,0.1,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.884788433710733,"{ ""DP"": 1}"
0.08,0.2,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.678657372792562,"{ ""DP"": 1}"
0.08,0.3,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.571236689885458,"{ ""DP"": 1}"
0.08,0.4,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.450203975041708,"{ ""DP"": 1}"
0.08,0.5,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.55133350690206,"{ ""DP"": 1}"
0.08,0.6,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.28976035118103,"{ ""DP"": 1}"
0.09,0.01,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.531067848205566,"{ ""DP"": 1}"
0.09,0.05,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.836854378382364,"{ ""DP"": 1}"
0.09,0.1,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.90324600537618,"{ ""DP"": 1}"
0.09,0.2,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.921733935674032,"{ ""DP"": 1}"
0.09,0.3,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.900056759516398,"{ ""DP"": 1}"
0.09,0.4,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.257275342941284,"{ ""DP"": 1}"
0.09,0.5,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.005425930023193,"{ ""DP"": 1}"
0.09,0.6,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.192275365193685,"{ ""DP"": 1}"
0.1,0.01,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.98187772432963,"{ ""DP"": 1}"
0.1,0.05,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,13.901068210601807,"{ ""DP"": 1}"
0.1,0.1,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.209465583165487,"{ ""DP"": 1}"
0.1,0.2,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.015287240346273,"{ ""DP"": 1}"
0.1,0.3,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.159117778142294,"{ ""DP"": 1}"
0.1,0.4,\AboveThreshold,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,14.292327006657919,"{ ""DP"": 1}"
