folder,input_size,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single,output_single
svt_mix1_max,1,0.5,0.01,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,1.425618092219035,"{ ""DP"": 1}",1.01034410794576,"{ ""DP"": 1}"
svt_mix2_max,4,0.5,0.01,example_4.dip,5,3.8,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_mix2_max,5,0.5,0.01,example_5.dip,6,4.333333333333333,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_mix2_max,2,0.5,0.01,example_2.dip,3,2.6666666666666665,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,76.5961099465688,"{ ""DP"": 1}",38.7339862982432,"{ ""DP"": 1}"
svt_mix2_max,3,0.5,0.01,example_3.dip,4,3.25,2,4,3.25,2,4,4,3,2.25,1,TIMEOUT,N/A,TIMEOUT,N/A
svt_mix2_max,1,0.5,0.01,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,1.449367602666219,"{ ""DP"": 1}",1.0552210807800293,"{ ""DP"": 1}"
nonpriv_svt,4,0.5,0.01,example_4.dip,1,1,1,5,3.8,2,5,5,4,2.8,1,0.9675186475118002,"{ ""DP"": -1}",0.9527589480082194,"{ ""DP"": -1}"
nonpriv_svt,5,0.5,0.01,example_5.dip,1,1,1,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,1.1911916732788086,"{ ""DP"": -1}",0.9599269231160482,"{ ""DP"": -1}"
nonpriv_svt,3,0.5,0.01,example_3.dip,1,1,1,4,3.25,2,4,4,3,2.25,1,0.9500422477722168,"{ ""DP"": -1}",1.0095092455546062,"{ ""DP"": -1}"
nonpriv_svt_max,4,0.5,0.01,example_4.dip,1,1,1,5,3.8,2,5,5,4,2.8,1,1.189861536026001,"{ ""DP"": -1}",1.074660301208496,"{ ""DP"": 1}"
nonpriv_svt_max,5,0.5,0.01,example_5.dip,1,1,1,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,0.9513707955678304,"{ ""DP"": -1}",0.9647289911905924,"{ ""DP"": 1}"
nonpriv_svt_max,3,0.5,0.01,example_3.dip,1,1,1,4,3.25,2,4,4,3,2.25,1,0.9497050444285074,"{ ""DP"": -1}",0.9532050291697184,"{ ""DP"": 1}"
noisy_max,4,0.5,0.01,example_4.dip,4,4,4,4,4,4,8,4,3,3,3,TIMEOUT,N/A,TIMEOUT,N/A
noisy_max,5,0.5,0.01,example_5.dip,5,5,5,5,5,5,16,5,4,4,4,TIMEOUT,N/A,TIMEOUT,N/A
noisy_max,2,0.5,0.01,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,1.3999729951222737,"{ ""DP"": 1}",0.9826256434122721,"{ ""DP"": 1}"
noisy_max,3,0.5,0.01,example_3.dip,3,3,3,3,3,3,4,3,2,2,2,10.53121550877889,"{ ""DP"": 1}",3.526421229044596,"{ ""DP"": 1}"
noisy_min,4,0.5,0.01,example_4.dip,4,4,4,4,4,4,8,4,3,3,3,TIMEOUT,N/A,162.59984262784323,"{ ""DP"": 1}"
noisy_min,5,0.5,0.01,example_5.dip,5,5,5,5,5,5,16,5,4,4,4,TIMEOUT,N/A,TIMEOUT,N/A
noisy_min,2,0.5,0.01,example_2.dip,2,2,2,2,2,2,2,2,1,1,1,1.3837327162424724,"{ ""DP"": 1}",0.955496629079183,"{ ""DP"": 1}"
noisy_min,3,0.5,0.01,example_3.dip,3,3,3,3,3,3,4,3,2,2,2,3.9900449911753335,"{ ""DP"": 1}",2.0908709367116294,"{ ""DP"": 1}"
mrange,3,0.5,0.01,mrange_3.dip,5,4,3,5,4,2,19,4,8,5.2105263157894735,2,TIMEOUT,N/A,TIMEOUT,N/A
mrange,2,0.5,0.01,mrange_2.dip,4,3.5,3,4,3.4615384615384617,2,13,3,6,4.153846153846154,2,351.36608211199444,"{ ""DP"": 1}",176.85124158859253,"{ ""DP"": 1}"
mrange,1,0.5,0.01,mrange_1.dip,3,3,3,3,2.857142857142857,2,7,2,4,3,2,4.725544373194377,"{ ""DP"": 1}",4.517414649327596,"{ ""DP"": 1}"
kminmax,4,0.5,0.01,example_4.dip,4,3.6,3,4,3.5714285714285716,3,28,3,6,5.142857142857143,4,TIMEOUT,N/A,TIMEOUT,N/A
kminmax,3,0.5,0.01,example_3.dip,3,3,3,3,3,3,16,2,4,4,4,77.56118488311768,"{ ""DP"": 1}",20.203131914138794,"{ ""DP"": 1}"
