folder,input_size,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single,output_single
svt_max,11,0.5,0.01,example_11.dip,3,2.8333333333333335,2,12,7.416666666666667,2,12,12,11,6.416666666666667,1,TIMEOUT,N/A,50.022058407465614,"{ ""DP"": 1}"
svt_max,13,0.5,0.01,example_13.dip,3,2.857142857142857,2,14,8.428571428571429,2,14,14,13,7.428571428571429,1,TIMEOUT,N/A,76.76665528615315,"{ ""DP"": 1}"
svt_max,1,0.5,0.01,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,1.2915093898773193,"{ ""DP"": 1}",1.2766836484273274,"{ ""DP"": 1}"
svt_max,12,0.5,0.01,example_12.dip,3,2.8461538461538463,2,13,7.923076923076923,2,13,13,12,6.923076923076923,1,TIMEOUT,N/A,62.76413734753927,"{ ""DP"": 1}"
svt_laplace_max,8,0.5,0.01,example_8.dip,3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,184.6092460155487,"{ ""DP"": 1}"
svt_laplace_max,9,0.5,0.01,example_9.dip,3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,547.8374121983846,"{ ""DP"": 1}"
svt_laplace_max,4,0.5,0.01,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,244.5415902932485,"{ ""DP"": 1}",27.065550406773884,"{ ""DP"": 1}"
svt_laplace_max,5,0.5,0.01,example_5.dip,3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,48.665974378585815,"{ ""DP"": 1}"
svt_laplace_max,7,0.5,0.01,example_7.dip,3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,123.33515167236328,"{ ""DP"": 1}"
svt_laplace_max,6,0.5,0.01,example_6.dip,3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,79.08825890223186,"{ ""DP"": 1}"
svt_laplace_max,2,0.5,0.01,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,8.872354984283447,"{ ""DP"": 1}",5.3343212604522705,"{ ""DP"": 1}"
svt_laplace_max,3,0.5,0.01,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,57.80046955744425,"{ ""DP"": 1}",12.528565963109335,"{ ""DP"": 1}"
