folder,input_size,time_single,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,output_single
svt_laplace_max,4,46.64068206151327,0.5,0.001,example_4.dip,3,2.6,2,5,3.8,2,5,5,4,2.8,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_laplace_max,2,10.183080991109213,0.5,0.001,example_2.dip,3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,16.57237434387207,"{ ""DP"": 1}","{ ""DP"": 1}"
svt_laplace_max,3,23.751604715983074,0.5,0.001,example_3.dip,3,2.5,2,4,3.25,2,4,4,3,2.25,1,TIMEOUT,N/A,"{ ""DP"": 1}"
svt_laplace_max,1,2.367218573888143,0.5,0.001,example_1.dip,2,2,2,2,2,2,2,2,1,1,1,2.267074982325236,"{ ""DP"": 1}","{ ""DP"": 1}"
svt,23,TIMEOUT,0.5,0.001,example_23.dip,3,2.9166666666666665,2,24,13.458333333333334,2,24,24,23,12.458333333333334,1,2.4189000129699707,,N/A
svt,3,2.1557957331339517,0.5,0.001,nonprivate_example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,2.4544739723205566,"{ ""DP"": -1}","{ ""DP"": -1}"
svt,2,2.3388962745666504,0.5,0.001,nonprivate_example_2.dip,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,2.2823365529378257,"{ ""DP"": -1}","{ ""DP"": -1}"
svt,22,TIMEOUT,0.5,0.001,example_22.dip,3,2.9130434782608696,2,23,12.956521739130435,2,23,23,22,11.956521739130435,1,2.5191434224446616,,N/A
svt,20,TIMEOUT,0.5,0.001,example_20.dip,3,2.9047619047619047,2,21,11.952380952380953,2,21,21,20,10.952380952380953,1,2.737173398335775,,N/A
svt,21,TIMEOUT,0.5,0.001,example_21.dip,3,2.909090909090909,2,22,12.454545454545455,2,22,22,21,11.454545454545455,1,2.802601973215739,,N/A
svt,19,TIMEOUT,0.5,0.001,example_19.dip,3,2.9,2,20,11.45,2,20,20,19,10.45,1,3.0113960901896157,,N/A
svt,25,TIMEOUT,0.5,0.001,example_25.dip,3,2.923076923076923,2,26,14.461538461538462,2,26,26,25,13.461538461538462,1,3.2832745711008706,,N/A
