folder,input_size,eps,delta,test,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single,output_single
nonpriv_svt,4,0.5,0.01,example_4.dip,2,1.6,1,5,3.8,2,5,5,4,2.8,1,1.438051700592041,"{ ""DP"": -1}",1.399319012959798,"{ ""DP"": 1}"
nonpriv_svt,5,0.5,0.01,example_5.dip,2,1.6666666666666667,1,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,1.3290987014770508,"{ ""DP"": -1}",1.013988733291626,"{ ""DP"": 1}"
nonpriv_svt,2,0.5,0.01,example_2.dip,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,0.9545346895853678,"{ ""DP"": 1}",0.9691729545593262,"{ ""DP"": 1}"
nonpriv_svt,3,0.5,0.01,example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,0.9700202147165934,"{ ""DP"": -1}",0.9676962693532308,"{ ""DP"": 1}"
nonpriv_svt_max,4,0.5,0.01,example_4.dip,2,1.6,1,5,3.8,2,5,5,4,2.8,1,1.1103789806365967,"{ ""DP"": -1}",0.9735250473022461,"{ ""DP"": 1}"
nonpriv_svt_max,5,0.5,0.01,example_5.dip,2,1.6666666666666667,1,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,1.4152466456095378,"{ ""DP"": -1}",0.9816443920135498,"{ ""DP"": 1}"
nonpriv_svt_max,2,0.5,0.01,example_2.dip,2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,0.9346326192220052,"{ ""DP"": 1}",0.9209639231363932,"{ ""DP"": 1}"
nonpriv_svt_max,3,0.5,0.01,example_3.dip,2,1.5,1,4,3.25,2,4,4,3,2.25,1,0.95888884862264,"{ ""DP"": -1}",0.9378222624460856,"{ ""DP"": 1}"
